sentence_id,congruent,position,sentence,target
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую дезинфекцией,grammar
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую фортуну,semantics
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую фортуной,semantics_grammar
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую дезинфекцию,no
2,Авторы получали подарки,2,Авторы получали районах,semantics_grammar
2,Авторы получали подарки,2,Авторы получали подарки,no
2,Авторы получали подарки,2,Авторы получали районы,semantics
2,Авторы получали подарки,2,Авторы получали подарками,grammar
3,Авторы получат призы,2,Авторы получат пунктах,semantics_grammar
3,Авторы получат призы,2,Авторы получат пунктах,semantics_grammar
3,Авторы получат призы,2,Авторы получат призы,no
3,Авторы получат призы,2,Авторы получат призах,grammar
3,Авторы получат призы,2,Авторы получат призах,grammar
3,Авторы получат призы,2,Авторы получат призах,grammar
3,Авторы получат призы,2,Авторы получат пунктах,semantics_grammar
3,Авторы получат призы,2,Авторы получат пункты,semantics
4,Адвокат обжаловал решение властей,2,Адвокат обжаловал воспоминанием властей,semantics_grammar
4,Адвокат обжаловал решение властей,2,Адвокат обжаловал воспоминание властей,semantics
4,Адвокат обжаловал решение властей,2,Адвокат обжаловал решением властей,grammar
4,Адвокат обжаловал решение властей,2,Адвокат обжаловал решение властей,no
4,Адвокат обжаловал решение властей,2,Адвокат обжаловал воспоминании властей,semantics_grammar
6,Администратор нажала кнопку сигнализации,2,Администратор нажала родиной сигнализации,semantics_grammar
6,Администратор нажала кнопку сигнализации,2,Администратор нажала кнопку сигнализации,no
6,Администратор нажала кнопку сигнализации,2,Администратор нажала кнопке сигнализации,grammar
6,Администратор нажала кнопку сигнализации,2,Администратор нажала кнопки сигнализации,grammar
6,Администратор нажала кнопку сигнализации,2,Администратор нажала кнопки сигнализации,grammar
6,Администратор нажала кнопку сигнализации,2,Администратор нажала родину сигнализации,semantics
6,Администратор нажала кнопку сигнализации,2,Администратор нажала родиной сигнализации,semantics_grammar
6,Администратор нажала кнопку сигнализации,2,Администратор нажала родиной сигнализации,semantics_grammar
7,Администрация начала спасательную операцию,3,Администрация начала спасательную операцию,no
7,Администрация начала спасательную операцию,3,Администрация начала спасательную операции,grammar
7,Администрация начала спасательную операцию,3,Администрация начала спасательную операции,grammar
7,Администрация начала спасательную операцию,3,Администрация начала спасательную культуре,semantics_grammar
7,Администрация начала спасательную операцию,3,Администрация начала спасательную культуру,semantics
7,Администрация начала спасательную операцию,3,Администрация начала спасательную операции,grammar
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили телевидению,semantics_grammar
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили посещение,semantics_grammar
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили знакомстве,semantics_grammar
8,Артиллеристы подготовили орудия,2,Артиллеристы подготовили знакомства,semantics
