sentence_id,congruent,position,structure,length,words,subject,verb,object,gen,adj,subject_length,subject_lemma,subject_ipm,subject_gender,verb_length,verb_lemma,verb_ipm,object_length,object_lemma,object_ipm,object_gender,gen_length,gen_lemma,gen_ipm,gen_gender,adj_length,adj_lemma,adj_ipm,adj_gender,task_type,selected
0,Автобусы проходят массовую дезинфекцию,3,Subject - Verb - Adj - Object,4,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,4,автобус,39.13,masc,3,проходить,181.7706090112571,5,дезинфекция,1.63,femn,,,0.02,,4.0,массовый,50.83456074472966,masc,to_evaluate,1
1,Автомобиль получил технические повреждения,3,Subject - Verb - Adj - Object,4,"['Автомобиль', 'получил', 'технические', 'повреждения']",автомобиль,получил,повреждения,,технические,4,автомобиль,91.27,masc,3,получить,552.8909435766419,5,повреждение,14.89,neut,,,0.02,,5.0,технический,73.60662796145199,masc,,0
2,Авторы получали подарки,2,Subject - Verb - Object,3,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,3,автор,218.3602762959191,masc,4,получать,178.8783668632906,3,подарок,64.02,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
4,Адвокат обжаловал решение властей,2,Subject - Verb - Object - Gen,4,"['Адвокат', 'обжаловал', 'решение', 'властей']",адвокат,обжаловал,решение,властей,,3,адвокат,29.98,masc,4,обжаловать,2.18,4,решение,238.707453512315,neut,2.0,власть,358.6754145196565,femn,,,0.02,,to_evaluate,1
5,Адвокаты отрицают вину,2,Subject - Verb - Object,3,"['Адвокаты', 'отрицают', 'вину']",адвокаты,отрицают,вину,,,4,адвокат,29.98,masc,4,отрицать,30.51,2,вина,53.63,neut,,,0.02,,,,0.02,,,0
6,Администратор нажала кнопку сигнализации,2,Subject - Verb - Object - Gen,4,"['Администратор', 'нажала', 'кнопку', 'сигнализации']",администратор,нажала,кнопку,сигнализации,,5,администратор,9.66,masc,3,нажать,13.48,2,кнопка,17.11,femn,6.0,сигнализация,3.52,femn,,,0.02,,to_evaluate,1
7,Администрация начала спасательную операцию,3,Subject - Verb - Adj - Object,4,"['Администрация', 'начала', 'спасательную', 'операцию']",администрация,начала,операцию,,спасательную,6,администрация,45.84,femn,3,начало,339.05,5,операция,90.19,femn,,,0.02,,5.0,спасательный,4.91,masc,to_evaluate,1
8,Артиллеристы подготовили орудия,2,Subject - Verb - Object,3,"['Артиллеристы', 'подготовили', 'орудия']",артиллеристы,подготовили,орудия,,,5,артиллерист,7.69,masc,5,подготовить,47.3,4,орудие,71.67,neut,,,0.02,,,,0.02,,to_evaluate,1
9,Артисты прокомментировали перенос премьеры,2,Subject - Verb - Object - Gen,4,"['Артисты', 'прокомментировали', 'перенос', 'премьеры']",артисты,прокомментировали,перенос,премьеры,,3,артист,76.99,masc,7,прокомментировать,3.84,3,перенос,6.93,masc,3.0,премьера,13.12,femn,,,0.02,,to_evaluate,1
