congruent,base_sent,sent_corrected
Здесь абоненты получают поистине безграничные возможности .,Абоненты получают возможности,Абоненты получают безграничные возможности
Здесь абоненты получают поистине безграничные возможности .,Абоненты получают возможности,Абоненты получают безграничные возможности
Авиакомпания официально подтвердила факт крушения лайнера .,Авиакомпания подтвердила факт,Авиакомпания подтвердила факт крушения
Также массовую дезинфекцию проходят городские автобусы .,Автобусы проходят дезинфекцию,Автобусы проходят массовую дезинфекцию
В результате автомобиль получил технические повреждения .,Автомобиль получил повреждения,Автомобиль получил технические повреждения
Однако сами авторы выдвинули более осторожное предположение .,Авторы выдвинули предположение,Авторы выдвинули осторожное предположение
Авторы письма выразили возмущение перебоями работы сети .,Авторы выразили возмущение,Авторы выразили возмущение
Авторы лучших снимков получали подарки от бренда .,Авторы получали подарки,Авторы получали подарки
А теперь их авторы получат призы .,Авторы получат призы,Авторы получат призы
А теперь их авторы получат призы .,Авторы получат призы,Авторы получат призы
Его адвокат обжаловал решение властей .,Адвокат обжаловал решение,Адвокат обжаловал решение властей
Его адвокаты уже готовят документы .,Адвокаты готовят документы,Адвокаты готовят документы
Адвокаты иллюзиониста полностью отрицают его вину .,Адвокаты отрицают вину,Адвокаты отрицают вину
Кнопку тревожной сигнализации нажала администратор .,Администратор нажала кнопку,Администратор нажала кнопку сигнализации
Администрация острова начала поисково - спасательную операцию .,Администрация начала поисково,Администрация начала спасательную операцию
Причин своего ухода активистка не назвала .,Активистка назвала причин,Активистка назвала причины ухода
Активисты попросили убежища девять месяцев назад .,Активисты попросили убежища,Активисты попросили убежища
Эти актрисы потеряли божественную искру .,Актрисы потеряли искру,Актрисы потеряли божественную искру
Данный алгоритм имеет сложность арифметических операций .,Алгоритм имеет сложность,Алгоритм имеет арифметическую (линейную) сложность
Альбом вызвал положительную реакцию критики .,Альбом вызвал реакцию,Альбом вызвал положительную реакцию
Альбом получил множество восторженных отзывов прессы .,Альбом получил множество,Альбом получил множество отзывов
Альбом получил преимущественно положительные отзывы критиков .,Альбом получил отзывы,Альбом получил положительные отзывы
Альбом получил в целом положительные отзывы критиков .,Альбом получил отзывы,Альбом получил положительные отзывы
Американцы опасаются лишь террористов - самоубийц .,Американцы опасаются террористов,Американцы опасаются террористов
Англичанин схватил нож и ранил россиянина .,Англичанин ранил россиянина,Англичанин ранил россиянина
Англичанин схватил нож и ранил россиянина .,Англичанин схватил нож,Англичанин схватил нож
Волгоградские артиллеристы уже подготовили орудия .,Артиллеристы подготовили орудия,Артиллеристы подготовили орудия
Перенос премьеры прокомментировали артисты Большого .,Артисты прокомментировали перенос,Артисты прокомментировали перенос премьеры
Перенос премьеры прокомментировали артисты Большого .,Артисты прокомментировали перенос,Артисты прокомментировали перенос премьеры
Археологи обнаружили останки неизвестного монаха .,Археологи обнаружили останки,Археологи обнаружили останки монаха
Атлеты получили крупные денежные премии .,Атлеты получили премии,Атлеты получили денежные премии
Атлеты получили крупные денежные премии .,Атлеты получили премии,Атлеты получили денежные премии
Точные данные банк предоставит позднее .,Банк предоставит данные,Банк предоставит точные данные
Кроме того барабанщик Мак Пул покинул группу .,Барабанщик покинул группу,Барабанщик покинул группу
Бастующие требуют повышения заработной платы .,Бастующие требуют повышения,Бастующие требуют повышения зарплаты
Бастующие требуют повышения заработной платы .,Бастующие требуют повышения,Бастующие требуют повышения зарплаты
Все бельгийцы разделяют эту безмерную скорбь .,Бельгийцы разделяют скорбь,Бельгийцы разделяют безмерную скорбь
Все бельгийцы разделяют эту безмерную скорбь .,Бельгийцы разделяют скорбь,Бельгийцы разделяют безмерную скорбь
Сам бизнесмен эти обвинения отрицал .,Бизнесмен отрицал обвинения,Бизнесмен отрицал обвинения
