,congruent,base_sent,sent_corrected,length,structure,words,subject,verb,object,gen,adj,preposition,object2,subject_length,subject_lemma,subject_ipm,verb_length,verb_lemma,verb_ipm,object_length,object_lemma,object_ipm,gen_length,gen_lemma,gen_ipm,adj_length,adj_lemma,adj_ipm,preposition_length,preposition_lemma,preposition_ipm,object2_length,object2_lemma,object2_ipm
2,Авиакомпания официально подтвердила факт крушения лайнера .,Авиакомпания подтвердила факт,Авиакомпания подтвердила факт крушения,4,Subject - Verb - Object - Gen,"['Авиакомпания', 'подтвердила', 'факт', 'крушения']",авиакомпания,подтвердила,факт,крушения,,,,7,авиакомпания,,4,подтвердить,,1,факт,152.26600028481778,4.0,крушение,,,,,,,,,,
3,Также массовую дезинфекцию проходят городские автобусы .,Автобусы проходят дезинфекцию,Автобусы проходят массовую дезинфекцию,4,Subject - Verb - Adj - Object,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,,,4,автобус,,3,проходить,181.7706090112571,5,дезинфекция,,,,,4.0,массовый,50.83456074472966,,,,,,
4,В результате автомобиль получил технические повреждения .,Автомобиль получил повреждения,Автомобиль получил технические повреждения,4,Subject - Verb - Adj - Object,"['Автомобиль', 'получил', 'технические', 'повреждения']",автомобиль,получил,повреждения,,технические,,,4,автомобиль,,3,получить,552.8909435766419,5,повреждение,,,,,5.0,технический,73.60662796145199,,,,,,
5,Однако сами авторы выдвинули более осторожное предположение .,Авторы выдвинули предположение,Авторы выдвинули осторожное предположение,4,Subject - Verb - Adj - Object,"['Авторы', 'выдвинули', 'осторожное', 'предположение']",авторы,выдвинули,предположение,,осторожное,,,3,автор,218.3602762959191,4,выдвинуть,,6,предположение,,,,,5.0,осторожный,,,,,,,
6,Авторы письма выразили возмущение перебоями работы сети .,Авторы выразили возмущение,Авторы выразили возмущение,3,Subject - Verb - Object,"['Авторы', 'выразили', 'возмущение']",авторы,выразили,возмущение,,,,,3,автор,218.3602762959191,4,выразить,70.08679864379748,5,возмущение,,,,,,,,,,,,,
7,Авторы лучших снимков получали подарки от бренда .,Авторы получали подарки,Авторы получали подарки,3,Subject - Verb - Object,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,,,3,автор,218.3602762959191,4,получать,178.8783668632906,3,подарок,,,,,,,,,,,,,
8,А теперь их авторы получат призы .,Авторы получат призы,Авторы получат призы,3,Subject - Verb - Object,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,,,3,автор,218.3602762959191,3,получить,552.8909435766419,2,приз,,,,,,,,,,,,,
9,А теперь их авторы получат призы .,Авторы получат призы,Авторы получат призы,3,Subject - Verb - Object,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,,,3,автор,218.3602762959191,3,получить,552.8909435766419,2,приз,,,,,,,,,,,,,
10,Его адвокат обжаловал решение властей .,Адвокат обжаловал решение,Адвокат обжаловал решение властей,4,Subject - Verb - Object - Gen,"['Адвокат', 'обжаловал', 'решение', 'властей']",адвокат,обжаловал,решение,властей,,,,3,адвокат,,4,обжаловать,,4,решение,238.70745351231497,2.0,власть,358.6754145196565,,,,,,,,,
11,Его адвокаты уже готовят документы .,Адвокаты готовят документы,Адвокаты готовят документы,3,Subject - Verb - Object,"['Адвокаты', 'готовят', 'документы']",адвокаты,готовят,документы,,,,,4,адвокат,,3,готовить,68.04647269638622,4,документ,121.57031122782156,,,,,,,,,,,,
