sentence_id,congruent,position,sentence,target,semantics_grammar,semantics,grammar,no,unknown,most_popular,percent,structure,length,words,subject,verb,object,gen,adj,subject_length,subject_lemma,subject_ipm,subject_gender,verb_length,verb_lemma,verb_ipm,object_length,object_lemma,object_ipm,object_gender,gen_length,gen_lemma,gen_ipm,gen_gender,adj_length,adj_lemma,adj_ipm,adj_gender,task_type,selected
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую дезинфекцией,grammar,,,1.0,,,grammar,1.0,Subject - Verb - Adj - Object,4,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,4,автобус,39.13,masc,3,проходить,181.7706090112571,5,дезинфекция,1.63,femn,,,0.02,,4.0,массовый,50.83456074472966,masc,to_evaluate,1
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую фортуну,semantics,,1.0,,,,semantics,1.0,Subject - Verb - Adj - Object,4,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,4,автобус,39.13,masc,3,проходить,181.7706090112571,5,дезинфекция,1.63,femn,,,0.02,,4.0,массовый,50.83456074472966,masc,to_evaluate,1
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую фортуной,semantics_grammar,1.0,,,,,semantics_grammar,1.0,Subject - Verb - Adj - Object,4,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,4,автобус,39.13,masc,3,проходить,181.7706090112571,5,дезинфекция,1.63,femn,,,0.02,,4.0,массовый,50.83456074472966,masc,to_evaluate,1
0,Автобусы проходят массовую дезинфекцию,3,Автобусы проходят массовую дезинфекцию,no,,0.1666666666666666,,0.8333333333333334,,no,0.8333333333333334,Subject - Verb - Adj - Object,4,"['Автобусы', 'проходят', 'массовую', 'дезинфекцию']",автобусы,проходят,дезинфекцию,,массовую,4,автобус,39.13,masc,3,проходить,181.7706090112571,5,дезинфекция,1.63,femn,,,0.02,,4.0,массовый,50.83456074472966,masc,to_evaluate,1
2,Авторы получали подарки,2,Авторы получали районах,semantics_grammar,1.0,,,,,semantics_grammar,1.0,Subject - Verb - Object,3,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,3,автор,218.3602762959191,masc,4,получать,178.8783668632906,3,подарок,64.02,masc,,,0.02,,,,0.02,,to_evaluate,1
2,Авторы получали подарки,2,Авторы получали подарки,no,,,,1.0,,no,1.0,Subject - Verb - Object,3,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,3,автор,218.3602762959191,masc,4,получать,178.8783668632906,3,подарок,64.02,masc,,,0.02,,,,0.02,,to_evaluate,1
2,Авторы получали подарки,2,Авторы получали районы,semantics,,0.75,0.25,,,semantics,0.75,Subject - Verb - Object,3,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,3,автор,218.3602762959191,masc,4,получать,178.8783668632906,3,подарок,64.02,masc,,,0.02,,,,0.02,,to_evaluate,1
2,Авторы получали подарки,2,Авторы получали подарками,grammar,,,1.0,,,grammar,1.0,Subject - Verb - Object,3,"['Авторы', 'получали', 'подарки']",авторы,получали,подарки,,,3,автор,218.3602762959191,masc,4,получать,178.8783668632906,3,подарок,64.02,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Авторы получат пунктах,semantics_grammar,1.0,,,,,semantics_grammar,1.0,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Авторы получат пунктах,semantics_grammar,0.8333333333333334,0.0833333333333333,0.0833333333333333,,,semantics_grammar,0.8333333333333334,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Авторы получат пунктах,semantics_grammar,0.7777777777777778,0.1111111111111111,0.1111111111111111,,,semantics_grammar,0.7777777777777778,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Авторы получат призы,no,,,,1.0,,no,1.0,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Авторы получат призах,grammar,,,1.0,,,grammar,1.0,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
3,Авторы получат призы,2,Авторы получат пункты,semantics,,1.0,,,,semantics,1.0,Subject - Verb - Object,3,"['Авторы', 'получат', 'призы']",авторы,получат,призы,,,3,автор,218.3602762959191,masc,3,получить,552.8909435766419,2,приз,13.2,masc,,,0.02,,,,0.02,,to_evaluate,1
4,Адвокат обжаловал решение властей,2,Адвокат обжаловал воспоминанием властей,semantics_grammar,1.0,,,,,semantics_grammar,1.0,Subject - Verb - Object - Gen,4,"['Адвокат', 'обжаловал', 'решение', 'властей']",адвокат,обжаловал,решение,властей,,3,адвокат,29.98,masc,4,обжаловать,2.18,4,решение,238.707453512315,neut,2.0,власть,358.6754145196565,femn,,,0.02,,to_evaluate,1
