sentence,semantics_grammar,semantics,grammar,no,unknown,most_popular,percent
Автобусы проходят массовую дезинфекцией,,,1.0,,,grammar,1.0
Автобусы проходят массовую фортуну,,1.0,,,,semantics,1.0
Автобусы проходят массовую фортуной,1.0,,,,,semantics_grammar,1.0
Автобусы проходят массовую дезинфекцию,,0.1666666666666666,,0.8333333333333334,,no,0.8333333333333334
Авторы получали районах,1.0,,,,,semantics_grammar,1.0
Авторы получали подарки,,,,1.0,,no,1.0
Авторы получали районы,,0.75,0.25,,,semantics,0.75
Авторы получали подарками,,,1.0,,,grammar,1.0
Авторы получат пунктах,1.0,,,,,semantics_grammar,1.0
Авторы получат пунктах,0.8333333333333334,0.0833333333333333,0.0833333333333333,,,semantics_grammar,0.8333333333333334
Авторы получат призы,,,,1.0,,no,1.0
Авторы получат призах,,,1.0,,,grammar,1.0
Авторы получат призах,,,1.0,,,grammar,1.0
Авторы получат призах,,,1.0,,,grammar,1.0
Авторы получат пунктах,0.7777777777777778,0.1111111111111111,0.1111111111111111,,,semantics_grammar,0.7777777777777778
Авторы получат пункты,,1.0,,,,semantics,1.0
Адвокат обжаловал воспоминанием властей,1.0,,,,,semantics_grammar,1.0
Адвокат обжаловал воспоминание властей,,1.0,,,,semantics,1.0
Адвокат обжаловал решением властей,,,1.0,,,grammar,1.0
Адвокат обжаловал решение властей,,,,1.0,,no,1.0
Адвокат обжаловал воспоминании властей,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Администратор нажала родиной сигнализации,1.0,,,,,semantics_grammar,1.0
Администратор нажала кнопку сигнализации,,,,1.0,,no,1.0
Администратор нажала кнопке сигнализации,,,1.0,,,grammar,1.0
Администратор нажала кнопки сигнализации,0.125,,0.5,0.375,,grammar,0.5
Администратор нажала кнопки сигнализации,,,0.5,0.5,,grammar,0.5
Администратор нажала родину сигнализации,,1.0,,,,semantics,1.0
Администратор нажала родиной сигнализации,0.75,0.25,,,,semantics_grammar,0.75
Администратор нажала родиной сигнализации,0.875,0.125,,,,semantics_grammar,0.875
Администрация начала спасательную операцию,,0.1666666666666666,,0.8333333333333334,,no,0.8333333333333334
Администрация начала спасательную операции,,,0.8888888888888888,0.1111111111111111,,grammar,0.8888888888888888
Администрация начала спасательную операции,,,1.0,,,grammar,1.0
Администрация начала спасательную культуре,1.0,,,,,semantics_grammar,1.0
Администрация начала спасательную культуру,,1.0,,,,semantics,1.0
Администрация начала спасательную операции,,,0.8333333333333334,0.1666666666666666,,grammar,0.8333333333333334
Артиллеристы подготовили телевидению,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Артиллеристы подготовили посещение,,0.7142857142857143,0.1428571428571428,0.1428571428571428,,semantics,0.7142857142857143
Артиллеристы подготовили знакомстве,1.0,,,,,semantics_grammar,1.0
Артиллеристы подготовили знакомства,,0.75,,0.25,,semantics,0.75
Артиллеристы подготовили орудию,,,1.0,,,grammar,1.0
Артиллеристы подготовили посещения,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,semantics_grammar,0.3333333333333333
Артиллеристы подготовили орудия,,,,1.0,,no,1.0
Артиллеристы подготовили телевидения,1.0,,,,,semantics_grammar,1.0
Артисты прокомментировали лексиконе премьеры,1.0,,,,,semantics_grammar,1.0
Артисты прокомментировали переноса премьеры,,,1.0,,,grammar,1.0
Артисты прокомментировали лгуна премьеры,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Артисты прокомментировали гарем премьеры,,1.0,,,,semantics,1.0
Артисты прокомментировали лексикон премьеры,0.25,0.25,,0.5,,no,0.5
Артисты прокомментировали лгун премьеры,0.3333333333333333,0.6666666666666666,,,,semantics,0.6666666666666666
Артисты прокомментировали перенос премьеры,,,,1.0,,no,1.0
Атлеты получили денежные премии,,,,1.0,,no,1.0
Атлеты получили денежные премию,,,1.0,,,grammar,1.0
Атлеты получили денежные деревня,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Атлеты получили денежные деревню,0.7142857142857143,0.2857142857142857,,,,semantics_grammar,0.7142857142857143
Атлеты получили денежные деревни,,1.0,,,,semantics,1.0
Барабанщик покинул записке,1.0,,,,,semantics_grammar,1.0
Барабанщик покинул записку,0.1666666666666666,0.8333333333333334,,,,semantics,0.8333333333333334
Барабанщик покинул группу,,,,1.0,,no,1.0
Барабанщик покинул записке,0.6666666666666666,0.3333333333333333,,,,semantics_grammar,0.6666666666666666
Барабанщик покинул группы,,,1.0,,,grammar,1.0
Бастующие требуют местечке зарплаты,1.0,,,,,semantics_grammar,1.0
Бастующие требуют местечко зарплаты,0.1,0.9,,,,semantics,0.9
Бастующие требуют местечко зарплаты,1.0,,,,,semantics_grammar,1.0
Бастующие требуют местечка зарплаты,0.1666666666666666,0.8333333333333334,,,,semantics,0.8333333333333334
Бастующие требуют местечко зарплаты,,1.0,,,,semantics,1.0
Бастующие требуют повышении зарплаты,0.1,,0.7,0.2,,grammar,0.7
Бастующие требуют повышением зарплаты,,,1.0,,,grammar,1.0
Бастующие требуют повышении зарплаты,,,0.7142857142857143,0.2857142857142857,,grammar,0.7142857142857143
Бастующие требуют повышения зарплаты,,,,1.0,,no,1.0
Бельгийцы разделяют безмерную подбору,0.1111111111111111,0.8888888888888888,,,,semantics,0.8888888888888888
Бельгийцы разделяют безмерную скорби,,,1.0,,,grammar,1.0
