sentence_id,sentence,congruent,structure,length,target,position,most_popular,percent,semantics_grammar,semantics,grammar,no,unknown,subject,verb,object,gen,adj,subject_lemma,subject_length,subject_gender,subject_ipm,verb_lemma,verb_length,verb_ipm,object_lemma,object_length,object_gender,object_ipm,gen_lemma,gen_length,gen_gender,gen_ipm,adj_lemma,adj_length,adj_gender,adj_ipm
0.0,Автобусы проходят массовую дезинфекцией,Автобусы проходят массовую дезинфекцию,Subject - Verb - Adj - Object,4.0,grammar,3.0,grammar,1.0,,,1.0,,,автобусы,проходят,дезинфекцию,nan,массовую,автобус,4.0,masc,39.13,проходить,3.0,181.7706090112571,дезинфекция,5.0,femn,1.63,nan,,nan,0.02,массовый,4.0,masc,50.83456074472966
0.0,Автобусы проходят массовую дезинфекцию,Автобусы проходят массовую дезинфекцию,Subject - Verb - Adj - Object,4.0,normal,3.0,normal,0.8333333333333334,,0.1666666666666666,,0.8333333333333334,,автобусы,проходят,дезинфекцию,nan,массовую,автобус,4.0,masc,39.13,проходить,3.0,181.7706090112571,дезинфекция,5.0,femn,1.63,nan,,nan,0.02,массовый,4.0,masc,50.83456074472966
0.0,Автобусы проходят массовую фортуной,Автобусы проходят массовую дезинфекцию,Subject - Verb - Adj - Object,4.0,semantics_grammar,3.0,semantics_grammar,1.0,1.0,,,,,автобусы,проходят,дезинфекцию,nan,массовую,автобус,4.0,masc,39.13,проходить,3.0,181.7706090112571,дезинфекция,5.0,femn,1.63,nan,,nan,0.02,массовый,4.0,masc,50.83456074472966
0.0,Автобусы проходят массовую фортуну,Автобусы проходят массовую дезинфекцию,Subject - Verb - Adj - Object,4.0,semantics,3.0,semantics,1.0,,1.0,,,,автобусы,проходят,дезинфекцию,nan,массовую,автобус,4.0,masc,39.13,проходить,3.0,181.7706090112571,дезинфекция,5.0,femn,1.63,nan,,nan,0.02,массовый,4.0,masc,50.83456074472966
2.0,Авторы получали подарками,Авторы получали подарки,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,авторы,получали,подарки,nan,nan,автор,3.0,masc,218.3602762959191,получать,4.0,178.8783668632906,подарок,3.0,masc,64.02,nan,,nan,0.02,nan,,nan,0.02
2.0,Авторы получали подарки,Авторы получали подарки,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,авторы,получали,подарки,nan,nan,автор,3.0,masc,218.3602762959191,получать,4.0,178.8783668632906,подарок,3.0,masc,64.02,nan,,nan,0.02,nan,,nan,0.02
2.0,Авторы получали районах,Авторы получали подарки,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,авторы,получали,подарки,nan,nan,автор,3.0,masc,218.3602762959191,получать,4.0,178.8783668632906,подарок,3.0,masc,64.02,nan,,nan,0.02,nan,,nan,0.02
2.0,Авторы получали районы,Авторы получали подарки,Subject - Verb - Object,3.0,semantics,2.0,semantics,0.75,,0.75,0.25,,,авторы,получали,подарки,nan,nan,автор,3.0,masc,218.3602762959191,получать,4.0,178.8783668632906,подарок,3.0,masc,64.02,nan,,nan,0.02,nan,,nan,0.02
3.0,Авторы получат призах,Авторы получат призы,Subject - Verb - Object,3.0,grammar,2.0,grammar,1.0,,,1.0,,,авторы,получат,призы,nan,nan,автор,3.0,masc,218.3602762959191,получить,3.0,552.8909435766419,приз,2.0,masc,13.2,nan,,nan,0.02,nan,,nan,0.02
3.0,Авторы получат призы,Авторы получат призы,Subject - Verb - Object,3.0,normal,2.0,normal,1.0,,,,1.0,,авторы,получат,призы,nan,nan,автор,3.0,masc,218.3602762959191,получить,3.0,552.8909435766419,приз,2.0,masc,13.2,nan,,nan,0.02,nan,,nan,0.02
3.0,Авторы получат пунктах,Авторы получат призы,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,авторы,получат,призы,nan,nan,автор,3.0,masc,218.3602762959191,получить,3.0,552.8909435766419,приз,2.0,masc,13.2,nan,,nan,0.02,nan,,nan,0.02
3.0,Авторы получат пункты,Авторы получат призы,Subject - Verb - Object,3.0,semantics,2.0,semantics,1.0,,1.0,,,,авторы,получат,призы,nan,nan,автор,3.0,masc,218.3602762959191,получить,3.0,552.8909435766419,приз,2.0,masc,13.2,nan,,nan,0.02,nan,,nan,0.02
4.0,Адвокат обжаловал воспоминание властей,Адвокат обжаловал решение властей,Subject - Verb - Object - Gen,4.0,semantics,2.0,semantics,1.0,,1.0,,,,адвокат,обжаловал,решение,властей,nan,адвокат,3.0,masc,29.98,обжаловать,4.0,2.18,решение,4.0,neut,238.707453512315,власть,2.0,femn,358.6754145196565,nan,,nan,0.02
4.0,Адвокат обжаловал воспоминанием властей,Адвокат обжаловал решение властей,Subject - Verb - Object - Gen,4.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,адвокат,обжаловал,решение,властей,nan,адвокат,3.0,masc,29.98,обжаловать,4.0,2.18,решение,4.0,neut,238.707453512315,власть,2.0,femn,358.6754145196565,nan,,nan,0.02
4.0,Адвокат обжаловал решение властей,Адвокат обжаловал решение властей,Subject - Verb - Object - Gen,4.0,normal,2.0,normal,1.0,,,,1.0,,адвокат,обжаловал,решение,властей,nan,адвокат,3.0,masc,29.98,обжаловать,4.0,2.18,решение,4.0,neut,238.707453512315,власть,2.0,femn,358.6754145196565,nan,,nan,0.02
4.0,Адвокат обжаловал решением властей,Адвокат обжаловал решение властей,Subject - Verb - Object - Gen,4.0,grammar,2.0,grammar,1.0,,,1.0,,,адвокат,обжаловал,решение,властей,nan,адвокат,3.0,masc,29.98,обжаловать,4.0,2.18,решение,4.0,neut,238.707453512315,власть,2.0,femn,358.6754145196565,nan,,nan,0.02
6.0,Администратор нажала кнопке сигнализации,Администратор нажала кнопку сигнализации,Subject - Verb - Object - Gen,4.0,grammar,2.0,grammar,1.0,,,1.0,,,администратор,нажала,кнопку,сигнализации,nan,администратор,5.0,masc,9.66,нажать,3.0,13.48,кнопка,2.0,femn,17.11,сигнализация,6.0,femn,3.52,nan,,nan,0.02
6.0,Администратор нажала кнопку сигнализации,Администратор нажала кнопку сигнализации,Subject - Verb - Object - Gen,4.0,normal,2.0,normal,1.0,,,,1.0,,администратор,нажала,кнопку,сигнализации,nan,администратор,5.0,masc,9.66,нажать,3.0,13.48,кнопка,2.0,femn,17.11,сигнализация,6.0,femn,3.52,nan,,nan,0.02
6.0,Администратор нажала родиной сигнализации,Администратор нажала кнопку сигнализации,Subject - Verb - Object - Gen,4.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,администратор,нажала,кнопку,сигнализации,nan,администратор,5.0,masc,9.66,нажать,3.0,13.48,кнопка,2.0,femn,17.11,сигнализация,6.0,femn,3.52,nan,,nan,0.02
6.0,Администратор нажала родину сигнализации,Администратор нажала кнопку сигнализации,Subject - Verb - Object - Gen,4.0,semantics,2.0,semantics,1.0,,1.0,,,,администратор,нажала,кнопку,сигнализации,nan,администратор,5.0,masc,9.66,нажать,3.0,13.48,кнопка,2.0,femn,17.11,сигнализация,6.0,femn,3.52,nan,,nan,0.02
7.0,Администрация начала спасательную культуре,Администрация начала спасательную операцию,Subject - Verb - Adj - Object,4.0,semantics_grammar,3.0,semantics_grammar,1.0,1.0,,,,,администрация,начала,операцию,nan,спасательную,администрация,6.0,femn,45.84,начало,3.0,339.05,операция,5.0,femn,90.19,nan,,nan,0.02,спасательный,5.0,masc,4.91
7.0,Администрация начала спасательную культуру,Администрация начала спасательную операцию,Subject - Verb - Adj - Object,4.0,semantics,3.0,semantics,1.0,,1.0,,,,администрация,начала,операцию,nan,спасательную,администрация,6.0,femn,45.84,начало,3.0,339.05,операция,5.0,femn,90.19,nan,,nan,0.02,спасательный,5.0,masc,4.91
7.0,Администрация начала спасательную операции,Администрация начала спасательную операцию,Subject - Verb - Adj - Object,4.0,grammar,3.0,grammar,1.0,,,1.0,,,администрация,начала,операцию,nan,спасательную,администрация,6.0,femn,45.84,начало,3.0,339.05,операция,5.0,femn,90.19,nan,,nan,0.02,спасательный,5.0,masc,4.91
7.0,Администрация начала спасательную операцию,Администрация начала спасательную операцию,Subject - Verb - Adj - Object,4.0,normal,3.0,normal,0.8333333333333334,,0.1666666666666666,,0.8333333333333334,,администрация,начала,операцию,nan,спасательную,администрация,6.0,femn,45.84,начало,3.0,339.05,операция,5.0,femn,90.19,nan,,nan,0.02,спасательный,5.0,masc,4.91
8.0,Артиллеристы подготовили знакомства,Артиллеристы подготовили орудия,Subject - Verb - Object,3.0,semantics,2.0,semantics,0.75,,0.75,,0.25,,артиллеристы,подготовили,орудия,nan,nan,артиллерист,5.0,masc,7.69,подготовить,5.0,47.3,орудие,4.0,neut,71.67,nan,,nan,0.02,nan,,nan,0.02
8.0,Артиллеристы подготовили знакомстве,Артиллеристы подготовили орудия,Subject - Verb - Object,3.0,semantics_grammar,2.0,semantics_grammar,1.0,1.0,,,,,артиллеристы,подготовили,орудия,nan,nan,артиллерист,5.0,masc,7.69,подготовить,5.0,47.3,орудие,4.0,neut,71.67,nan,,nan,0.02,nan,,nan,0.02
