congruent,base_sent
Компания начала внутреннее расследование произошедшего .,Компания начала расследование
Пара имеет ныне трёх дочерей .,Пара имеет дочерей
Тогда пираты похитили четырех человек .,Пираты похитили человек
В ассоциации организации комментировать ситуации ситуацию отказались . В организации отказались комментировать ситуацию,Отказались ситуацию
Многие тысячи покинули места погромов .,Тысячи покинули места
И аварии наполнят мир горем .,Наполнят мир
Мать имела диплом домашней учительницы .,Мать имела диплом
Вместо мозга робот имеет сложный компьютер .,Робот имеет компьютер
Его потомки получают ряд привилегий .,Потомки получают ряд
Для независимости посетитель имеет отдельную иерархию .,Посетитель имеет иерархию
Тогда полиция задержала трех человек .,Полиция задержала человек
Его сторонники воспринимают угрозу реально серьезно .,Сторонники воспринимают угрозу
После аварии власти закрыли аэропорт .,Власти закрыли аэропорт
Фермер ожидает первый богатый урожай .,Фермер ожидает урожай
Сейчас спасатели устанавливают причины хлопка запаха .,Спасатели устанавливают причины
Эти правила вызвали много критики .,Правила вызвали критики
Вскоре стражи порядка задержали злоумышленника .,Стражи задержали злоумышленника
Американские военные открыли ответный огонь .,Военные открыли огонь
Мужчина дал оперативникам признательные показания .,Мужчина дал показания
Весь город искал молодого человека .,Город искал человека
Доктор ненавидит насилие и убийства .,Доктор ненавидит насилие
Глава парламента внес соответствующий законопроект .,Глава внес законопроект
Здесь герой вспоминает своё имя .,Герой вспоминает имя
Сейчас сделка ждет одобрения Федеральной антимонопольной службы .,Сделка ждет одобрения
Однако экспертизу прошел проект административного здания .,Проект прошел экспертизу
Игра получила довольно положительные отзывы .,Игра получила отзывы
Защита обвиняемого просила домашний арест .,Защита просила арест
Несколько бригад заняли деревню нага .,Бригад заняли деревню
История деревни берёт своё начало издавна .,История берёт начало
В слюне сержант заметила кровь .,Сержант заметила кровь
Этот альбом принёс ему всеобщее признание .,Альбом принёс признание
Все письма принцессы носят личный характер .,Письма носят характер
Затем эти карты продавали работники коммерческих организаций .,Работники продавали карты
Один человек получил небольшие ранения .,Человек получил ранения
Его личность также подтвердили родственники .,Родственники подтвердили личность
Его проповеди пользовались огромным успехом .,Проповеди пользовались успехом
"Возможно , дедушка потерял память .",Дедушка потерял память
Мужчина также показал полицейское удостоверение .,Мужчина показал удостоверение
Сейчас милиция ведет их поиск .,Милиция ведет поиск
Однако экспедицию везде преследовали неудачи .,Неудачи преследовали экспедицию
Остальные семь кандидатов представляют мелкие партии .,Кандидатов представляют партии
Слова замглавы передает Донецкое агентство новостей .,Агентство передает слова
Дорогая соль напоминала современную соль .,Соль напоминала соль
Несколько фондов подтвердили изданию получение траншей .,Фондов подтвердили получение
Тогда стороны обсуждали повышение потолка заимствований .,Стороны обсуждали повышение
Пока стороны заключили предварительное соглашение .,Стороны заключили соглашение
Именно поэтому разработка занимает много времени .,Разработка занимает времени
Девушка взяла деньги без спроса .,Девушка взяла деньги
А регистрация займет лишь один день .,Регистрация займет день
Настроение футболистов подхватил и главный тренер .,Тренер подхватил настроение
Все члены организации имеют клички .,Члены имеют клички
Их местонахождение власти держали в тайне .,Власти держали местонахождение
Некоторые аккорды получают собственные имена .,Аккорды получают имена
Сейчас пожарные уточняют причину возгорания .,Пожарные уточняют причину
После допроса власти города отпустили пилота .,Власти отпустили пилота
Максимальные санкции составляют год лишения свободы .,Санкции составляют год
Вечную славу поет вам народ !,Народ поет славу
Затем преступник поджег игровые столы .,Преступник поджег столы
Атлеты получили крупные денежные премии .,Атлеты получили премии
